species,sort,accessory_part,parts_fewer
BAER,11,prepollination_abort,bud
BAER,57,prepollination_abort,cone_aborted
BAER,62,packaging_dispersal,cone_base_brown
BAER,58,packaging_dispersal,cone_base_green
BAER,56,packaging_dispersal,cone_brown
BAER,55,packaging_dispersal,cone_green
BAER,27,postpollination_abort,fruit_immature
BAER,13,prepollination_success,petals
BAER,44,propagule,seed
BAER,43,postpollination_abort,seed_aborted
BAER,41,packaging_dispersal,seed_pod
BAER,21,prepollination_success,stigma
BAER,19,prepollination_success,style
BOLE,11,prepollination_abort,bud
BOLE,16,prepollination_success,calyx
BOLE,20,prepollination_success,finished_flower
BOLE,27,postpollination_abort,fruit_immature
BOLE,40,packaging_dispersal,pedicel
BOLE,13,prepollination_success,petals
BOLE,44,propagule,seed
BOLE,43,postpollination_abort,seed_aborted
BOLE,41,packaging_dispersal,seed_pod
BOLE,21,prepollination_success,stigma
COER,39,packaging_dispersal,bract
COER,11,prepollination_abort,bud
COER,20,prepollination_success,finished_flower
COER,28,postpollination_abort,fruit_immature
COER,37,propagule,fruit_mature
COER,26,packaging_dispersal,inflorescence_stalk
COER,13,prepollination_success,petals
COER,15,prepollination_success,stigma
EPMI,8,prepollination_abort,bud
EPMI,16,prepollination_success,calyx
EPMI,20,prepollination_success,finished_flower
EPMI,28,postpollination_abort,fruit_immature
EPMI,37,propagule,seed
EPMI,37,packaging_dispersal,seed_pod
EPMI,13,prepollination_success,petals
GRBU,3,prepollination_abort,bud
GRBU,28,postpollination_abort,fruit_immature
GRBU,1,prepollination_success,inflorescence_stalk
GRBU,40,packaging_dispersal,pedicel
GRBU,13,prepollination_success,petals
GRBU,44,propagule,seed
GRBU,43,postpollination_abort,seed_aborted
GRBU,41,packaging_dispersal,seed_pod
GRBU,21,prepollination_success,stigma
GRSP,3,prepollination_abort,bud
GRSP,28,postpollination_abort,fruit_immature
GRSP,24,packaging_dispersal,inflorescence_stalk
GRSP,40,packaging_dispersal,pedicel
GRSP,13,prepollination_success,petals
GRSP,44,propagule,seed
GRSP,43,postpollination_abort,seed_aborted
GRSP,41,packaging_dispersal,seed_pod
GRSP,21,prepollination_success,stigma
HATE,5,prepollination_abort,bract
HATE,2,prepollination_abort,bud
HATE,28,postpollination_abort,fruit_immature
HATE,13,prepollination_success,petals
HATE,44,propagule,seed
HATE,43,postpollination_abort,seed_aborted
HATE,42,propagule,seed_immature
HATE,41,packaging_dispersal,seed_pod
HATE,15,prepollination_success,stigma
HEPU,9,prepollination_abort,bud
HEPU,16.1,prepollination_success,calyx
HEPU,20,prepollination_success,finished_flower
HEPU,28.5,postpollination_abort,fruit_immature
HEPU,37,propagule,fruit_mature
HEPU,13,prepollination_success,petals
LEES,7,prepollination_abort,bud
LEES,16,prepollination_success,calyx
LEES,20,prepollination_success,finished_flower
LEES,28,postpollination_abort,fruit_immature
LEES,37,propagule,fruit_mature
LEES,13,prepollination_success,petals
PELA,11,prepollination_abort,bud
PELA,28,postpollination_abort,fruit_immature
PELA,40,packaging_dispersal,pedicel
PELA,13,prepollination_success,petals
PELA,44,propagule,seed
PELA,41,packaging_dispersal,seed_pod
PELA,21,prepollination_success,stigma
PEPU,7,prepollination_abort,bud
PEPU,57,prepollination_abort,cone_aborted
PEPU,56,packaging_dispersal,cone_brown
PEPU,51,packaging_dispersal,cone_green
PEPU,28,postpollination_abort,fruit_immature
PEPU,37,propagule,fruit_mature
PEPU,13,prepollination_success,petals
PEPU,15,prepollination_success,stigma
PHPH,23,prepollination_success,bract
PHPH,10,prepollination_abort,bud
PHPH,16,prepollination_success,calyx
PHPH,20,prepollination_success,finished_flower
PHPH,28,postpollination_abort,fruit_immature
PHPH,13,prepollination_success,petals
PHPH,44,propagule,seed
PHPH,43,postpollination_abort,seed_aborted
PHPH,41,packaging_dispersal,seed_pod
PHPH,21,prepollination_success,stigma
PILI,23,prepollination_success,bract
PILI,4,prepollination_abort,bud
PILI,16,prepollination_success,calyx
PILI,35,postpollination_abort,fruit_immature
PILI,1,packaging_dispersal,inflorescence_stalk
PILI,13,prepollination_success,petals
PILI,44,propagule,seed
PILI,41,packaging_dispersal,seed_pod
PILI,15,prepollination_success,stigma
PUTU,39,prepollination_success,bract
PUTU,17,prepollination_abort,bud
PUTU,16,prepollination_success,calyx
PUTU,29,postpollination_abort,fruit_immature
PUTU,13,prepollination_success,petals
PUTU,44,propagule,seed
PUTU,43,postpollination_abort,seed_aborted
PUTU,41,packaging_dispersal,seed_pod
PUTU,15,prepollination_success,stigma
BAER,100,prepollination_success,nectar
GRBU,100,prepollination_success,nectar
GRSP,100,prepollination_success,nectar
HATE,100,prepollination_success,nectar
