species,sort,accessory_part,parts_fewer_yet
BAER,11,prepollination_abort,bud
BAER,55,packaging_dispersal,cone
BAER,27,postpollination_abort,fruit_seed_immature
BAER,13,prepollination_success,petals
BAER,44,propagule,seed
BAER,41,packaging_dispersal,seed_pod
BOLE,16,prepollination_abort,bud
BOLE,27,postpollination_abort,fruit_seed_immature
BOLE,13,prepollination_success,petals
BOLE,44,propagule,seed
BOLE,41,packaging_dispersal,seed_pod
COER,39,packaging_dispersal,green_parts
COER,20,prepollination_success,finished_flower
COER,28,postpollination_abort,fruit_immature
COER,37,propagule,fruit_mature
COER,13,prepollination_success,petals
EPMI,8,prepollination_abort,bud
EPMI,20,prepollination_success,finished_flower
EPMI,28,postpollination_abort,fruit_immature
EPMI,37,propagule,seed
EPMI,13,prepollination_success,petals
EPMI,37,packaging_dispersal,seed_pod
GRBU,3,prepollination_abort,bud
GRBU,28,postpollination_abort,fruit_seed_immature
GRBU,13,prepollination_success,petals
GRBU,44,propagule,seed
GRBU,41,packaging_dispersal,seed_pod
GRBU,21,prepollination_success,finished_flower
GRBU,24,packaging_dispersal,green_parts
GRSP,3,prepollination_abort,bud
GRSP,28,postpollination_abort,fruit_seed_immature
GRSP,24,packaging_dispersal,green_parts
GRSP,13,prepollination_success,petals
GRSP,44,propagule,seed
GRSP,41,packaging_dispersal,seed_pod
HATE,5,prepollination_abort,bract
HATE,2,prepollination_abort,bud
HATE,28,postpollination_abort,fruit_seed_immature
HATE,13,prepollination_success,petals
HATE,44,propagule,seed
HATE,41,packaging_dispersal,seed_pod
HEPU,9,prepollination_abort,bud
HEPU,16.1,prepollination_success,calyx
HEPU,28.5,postpollination_abort,aborted_fruit_seed
HEPU,37,propagule,fruit_mature
HEPU,13,prepollination_success,petals
LEES,7,prepollination_abort,bud
LEES,16,prepollination_success,calyx
LEES,28,postpollination_abort,fruit_immature
LEES,37,propagule,fruit_mature
LEES,13,prepollination_success,petals
PELA,11,prepollination_abort,bud
PELA,28,postpollination_abort,fruit_seed_immature
PELA,13,prepollination_success,petals
PELA,44,propagule,seed
PELA,41,packaging_dispersal,seed_pod
PEPU,51,packaging_dispersal,cone
PEPU,28,postpollination_abort,fruit_immature
PEPU,37,propagule,fruit_mature
PEPU,13,prepollination_success,petals
PHPH,23,prepollination_success,bract
PHPH,16,prepollination_success,calyx
PHPH,28,postpollination_abort,fruit_seed_immature
PHPH,13,prepollination_success,petals
PHPH,44,propagule,seed
PHPH,41,packaging_dispersal,seed_pod
PILI,23,prepollination_success,green_parts
PILI,35,postpollination_abort,fruit_seed_immature
PILI,13,prepollination_success,petals
PILI,44,propagule,seed
PILI,41,packaging_dispersal,seed_pod
PUTU,39,prepollination_success,bract
PUTU,16,prepollination_success,calyx
PUTU,29,postpollination_abort,fruit_seed_immature
PUTU,13,prepollination_success,petals
PUTU,44,propagule,seed
PUTU,41,packaging_dispersal,seed_pod
BAER,100,prepollination_success,nectar
GRBU,100,prepollination_success,nectar
GRSP,100,prepollination_success,nectar
HATE,100,prepollination_success,nectar
