flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
inflorescence_stalk,1,,,green_parts,,green_parts,green_parts,,,,,,,green_parts,
inflorescence_bud_tiny,2,,,flower_petals,,,,bud,,,,,,,
inflorescence_bud_small,3,,,,,bud,bud,bud,,,,,,,
inflorescence_bud_mid,4,,,flower_petals,,,,bud,,,,,,petals,
inflorescence_bud_big_bracts,5,,,,,,,bract,,,,,,,
inflorescence_bud_big_flowers,6,,,,,,,flower_petals,,,,,,,
inflorescence_stalk_in_fruit,24,,,green_parts,,,green_parts,,,,,,,,
inflorescence_stalk_in_fruit_large,25,,,green_parts,,,,,,,,,,,
inflorescence_stalk_in_fruit_very_large,26,,,green_parts,,,,,,,,,,,
bud_aborted,7,,,,,,,,,bud,,,,,
bud_tiny,8,,bud,,bud,bud,bud,,,bud,,petals,,,
bud_small,9,bud,bud,,,bud,bud,,bud,,bud,,,,
bud_mid,10,,bud,,bud,bud,bud,,,bud,bud,,,,
bud_big,11,bud,bud,flower_petals,bud,bud,bud,,bud,bud,bud,petals,,petals,
bud_just_opening,12,bud,,,,,bud,,,,,,,,
flower_petals,13,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,flower_petals,petals,petals,petals,petals
flower_petals_small,14,,,,,,,,,,,,petals,,
flower_stigma,15,fruit_seed_immature,,finished_flower,,finished_flower,fruit_seed_immature,fruit_seed_immature,,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature
flower_calyx,16,,fruit_seed_immature,,finished_flower,,,,,calyx,,,calyx,green_parts,calyx
flower_calyx_aborting,,,,,,,,,calyx,,,,,,
flower_aborted,17,,,,,,,,,,,,petals,,petals
flower_aborted_without_petals,18,,,,,,,,,,,,petals,,
flower_style,19,bud,,,,,,,,,,,,,
finished_flower,20,,fruit_seed_immature,finished_flower,finished_flower,,,,calyx,calyx,,,,,
finished_flower_aborting,,,,,,,,,calyx,,,,,,
finished_flower_stigma,21,fruit_seed_immature,fruit_seed_immature,,,finished_flower,fruit_seed_immature,fruit_seed_immature,,,fruit_seed_immature,,fruit_seed_immature,,fruit_seed_immature
late_finished_flower,22,,fruit_seed_immature,,,,,,,,,,,,
late_flower_petals,22.1,,flower_petals,,,,,,,,,,,,
bract_flower_or_finished_flower,23,,,,,,,,,,,,bract,green_parts,bract
fruit_just_starting,27,,fruit_seed_immature,,,finished_flower,fruit_seed_immature,,,calyx,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,
fruit_young,28,fruit_seed_immature,fruit_seed_immature,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,,fruit_seed_immature,fruit_seed_immature,,fruit_seed_immature,fruit_seed_immature,
fruit_young_aborting,28.5,,,,,,,,fruit_seed_immature,,,,,,
fruit_large_immature_01,29,,,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,fruit_seed_immature,
fruit_large_immature_02,30,,,,,fruit_seed_immature,fruit_seed_immature,,,,fruit_seed_immature,,,,
fruit_large_immature_03,31,,,,,fruit_seed_immature,fruit_seed_immature,,,,fruit_seed_immature,,,,
fruit_large_immature_04,32,,,,,,,,,,fruit_seed_immature,,,,
fruit_large_immature_05,33,,,,,,,,,,fruit_seed_immature,,,,
fruit_large_immature_06,34,,,,,,,,,,fruit_seed_immature,,,,
fruit_large_immature_aborting,34.5,,,,,,,,fruit_seed_immature,,,,,,
fruit_aborted,35,,,,,,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature
fruit_empty,36,,,,,,,,,,,fruit_seed_immature,,,
fruit_mature,37,,,fruit_mature,,,,,fruit_mature,fruit_mature,,fruit_mature,,,
calyx_fruit,38,,,,,,,,calyx,calyx,,,,,
bract_fruit,39,,,green_parts,,,,,,,,,,,
pedicel,40,,bud,,,green_parts,green_parts,,,,bud,,,,
seed_pod,41,seed_pod,seed_pod,,fruit_mature,seed_pod,seed_pod,seed_pod,,,seed_pod,,seed_pod,seed_pod,seed_pod
seed_immature,42,,,,,,,fruit_seed_immature,,,,,,,
seed_aborted,43,fruit_seed_immature,,,,fruit_seed_immature,fruit_seed_immature,fruit_seed_immature,,,,,fruit_seed_immature,,fruit_seed_immature
seed,44,seed,seed,,fruit_mature,seed,seed,seed,,,seed,,seed,seed,seed
cone_just_starting_01,45,,,,,,,,,,,,,,
cone_just_starting_02,46,,,,,,,,,,,,,,
cone_just_starting_03,47,,,,,,,,,,,,,,
cone_just_starting_04,48,,,,,,,,,,,,,,
cone_just_starting_05,49,,,,,,,,,,,,,,
cone_young_01,50,,,,,,,,,,,,,,
cone_young_02,51,,,,,,,,,,,,,,
cone_young_03,52,,,,,,,,,,,,,,
cone_young_04,53,,,,,,,,,,,,,,
cone_green_01,54,cone,,,,,,,,,,,,,
cone_green_02,55,cone,,,,,,,,,,,,,
cone_green_03,56,cone,,,,,,,,,,,,,
cone_green_04,57,cone,,,,,,,,,,,,,
cone_brown_no_expanded_follicles,58,cone,,,,,,,,,,,,,
cone_brown,59,cone,,,,,,,,,,cone,,,
cone_aborted,60,cone,,,,,,,,,,cone,,,
cone_base_green_01,61,cone,,,,,,,,,,,,,
cone_base_green_02,62,cone,,,,,,,,,,,,,
cone_base_green_03,63,cone,,,,,,,,,,,,,
cone_base_green_04,64,cone,,,,,,,,,,,,,
cone_base_brown,65,cone,,,,,,,,,,,,,
